location_full	location_main	location_spec	translation_main	translation_spec
/a/airfield	airfield		vliegveld	
/a/airplane_cabin	airplane_cabin		airplane_cabin	
/a/airport_terminal	airport_terminal		luchthaventerminal	
/a/alcove	alcove		prieel	
/a/alley	alley		steeg	
/a/amphitheater	amphitheater		amfitheater	
/a/amusement_arcade	amusement_arcade		amusementshal	
/a/amusement_park	amusement_park		attractiepark	
/a/apartment_building/outdoor	apartment_building	outdoor	appartementencomplex	outdoor
/a/aquarium	aquarium		aquarium	
/a/aqueduct	aqueduct		waterleiding	
/a/arcade	arcade		zuilengang	
/a/arch	arch		boog	
/a/archaelogical_excavation	archaelogical_excavation		archaelogical_excavation	
/a/archive	archive		archief	
/a/arena/hockey	arena	hockey	arena	hockey
/a/arena/performance	arena	performance	arena	performance
/a/arena/rodeo	arena	rodeo	arena	rodeo
/a/army_base	army_base		leger basis	
/a/art_gallery	art_gallery		kunstgallerij	
/a/art_school	art_school		kunstschool	
/a/art_studio	art_studio		kunststudio	
/a/artists_loft	artists_loft		artists_loft	
/a/assembly_line	assembly_line		lopende band	
/a/athletic_field/outdoor	athletic_field	outdoor	atletiek veld	outdoor
/a/atrium/public	atrium	public	atrium	public
/a/attic	attic		vliering	
/a/auditorium	auditorium		gehoorzaal	
/a/auto_factory	auto_factory		auto_factory	
/a/auto_showroom	auto_showroom		auto_showroom	
/b/badlands	badlands		badlands	
/b/bakery/shop	bakery	shop	bakkerij	shop
/b/balcony/exterior	balcony	exterior	balkon	exterior
/b/balcony/interior	balcony	interior	balkon	interior
/b/ball_pit	ball_pit		ballenbak	
/b/ballroom	ballroom		danszaal	
/b/bamboo_forest	bamboo_forest		Bamboo Bos	
/b/bank_vault	bank_vault		bank kluis	
/b/banquet_hall	banquet_hall		banketzaal	
/b/bar	bar		bar	
/b/barn	barn		schuur	
/b/barndoor	barndoor		schuurdeur	
/b/baseball_field	baseball_field		Honkbal veld	
/b/basement	basement		kelder	
/b/basketball_court/indoor	basketball_court	indoor	basketbalveld	indoor
/b/bathroom	bathroom		badkamer	
/b/bazaar/indoor	bazaar	indoor	bazaar	indoor
/b/bazaar/outdoor	bazaar	outdoor	bazaar	outdoor
/b/beach	beach		strand	
/b/beach_house	beach_house		beach_house	
/b/beauty_salon	beauty_salon		schoonheidssalon	
/b/bedchamber	bedchamber		bedchamber	
/b/bedroom	bedroom		slaapkamer	
/b/beer_garden	beer_garden		biertuin	
/b/beer_hall	beer_hall		beer_hall	
/b/berth	berth		ligplaats	
/b/biology_laboratory	biology_laboratory		biology_laboratory	
/b/boardwalk	boardwalk		promenade	
/b/boat_deck	boat_deck		boot dek	
/b/boathouse	boathouse		botenhuis	
/b/bookstore	bookstore		boekenwinkel	
/b/booth/indoor	booth	indoor	kraam	indoor
/b/botanical_garden	botanical_garden		botanische tuin	
/b/bow_window/indoor	bow_window	indoor	boograam	indoor
/b/bowling_alley	bowling_alley		bowlingbaan	
/b/boxing_ring	boxing_ring		boksring	
/b/bridge	bridge		brug	
/b/building_facade	building_facade		building_facade	
/b/bullring	bullring		arena voor stierengevechten	
/b/burial_chamber	burial_chamber		burial_chamber	
/b/bus_interior	bus_interior		bus_interior	
/b/bus_station/indoor	bus_station	indoor	bushalte	indoor
/b/butchers_shop	butchers_shop		slagerij	
/b/butte	butte		butte	
/c/cabin/outdoor	cabin	outdoor	cabine	outdoor
/c/cafeteria	cafeteria		cafetaria	
/c/campsite	campsite		camping	
/c/campus	campus		campus	
/c/canal/natural	canal	natural	kanaal	natural
/c/canal/urban	canal	urban	kanaal	urban
/c/candy_store	candy_store		snoepwinkel	
/c/canyon	canyon		canyon	
/c/car_interior	car_interior		car_interior	
/c/carrousel	carrousel		carrousel	
/c/castle	castle		kasteel	
/c/catacomb	catacomb		catacombe	
/c/cemetery	cemetery		begraafplaats	
/c/chalet	chalet		chalet	
/c/chemistry_lab	chemistry_lab		scheikunde lab	
/c/childs_room	childs_room		childs_room	
/c/church/indoor	church	indoor	kerk	indoor
/c/church/outdoor	church	outdoor	kerk	outdoor
/c/classroom	classroom		klas	
/c/clean_room	clean_room		schone ruimte	
/c/cliff	cliff		klif	
/c/closet	closet		kast	
/c/clothing_store	clothing_store		Kledingwinkel	
/c/coast	coast		kust	
/c/cockpit	cockpit		cockpit	
/c/coffee_shop	coffee_shop		coffeeshop	
/c/computer_room	computer_room		computer Kamer	
/c/conference_center	conference_center		conferentiecentrum	
/c/conference_room	conference_room		vergaderruimte	
/c/construction_site	construction_site		bouwplaats	
/c/corn_field	corn_field		corn_field	
/c/corral	corral		kraal	
/c/corridor	corridor		gang	
/c/cottage	cottage		huisje	
/c/courthouse	courthouse		gerechtsgebouw	
/c/courtyard	courtyard		binnenplaats	
/c/creek	creek		kreek	
/c/crevasse	crevasse		spleet	
