Original,google_translate,Manual,Embedding
boating,Bezig met laden...,varen,varen
driving,Bezig met laden...,rijden,rijden
biking,Bezig met laden...,fietsen,fietsen
transporting,Bezig met laden...,transport,transport
sunbathing,Bezig met laden...,zonnen,zonnen
touring,Bezig met laden...,touren,touren
hiking,Bezig met laden...,wandelen,wandelen
climbing,Bezig met laden...,klimmen,klimmen
camping,Bezig met laden...,kamperen,kamperen
reading,Bezig met laden...,lezen,lezen
studying,Bezig met laden...,studeren,studeren
training,Bezig met laden...,training,training
research,Bezig met laden...,onderzoek,onderzoek
diving,Bezig met laden...,duiken,duiken
swimming,Bezig met laden...,zwemmen,zwemmen
bathing,Bezig met laden...,baden,baden
eating,Bezig met laden...,eten,eten
cleaning,Bezig met laden...,schoonmaken,schoonmaken
socializing,Bezig met laden...,socializing,socializing
congregating,Bezig met laden...,samenkomen,samenkomen
waiting in line,Bezig met laden...,wachten,wachten
competing,Bezig met laden...,concurrerende,concurrerende
sports,Bezig met laden...,sport,sport
exercise,Bezig met laden...,sporten,sporten
playing,Bezig met laden...,spelen,spelen
gaming,Bezig met laden...,gamen,gamen
spectating,Bezig met laden...,kijken,kijken
farming,Bezig met laden...,landbouw,landbouw
constructing,Bezig met laden...,bouwen,bouwen
shopping,Bezig met laden...,shoppen,shoppen
medical activity,Bezig met laden...,medisch,medisch
working,Bezig met laden...,werken,werken
using tools,Bezig met laden...,handwerk,handwerk
digging,Bezig met laden...,graven,graven
conducting business,Bezig met laden...,zaken,zaken
praying,Bezig met laden...,bidden,bidden
fencing,Bezig met laden...,schermen,schermen
railing,Bezig met laden...,railing,railing
wire,Bezig met laden...,draad,draad
railroad,Bezig met laden...,spoorweg,spoorweg
trees,Bezig met laden...,bomen,bomen
grass,Bezig met laden...,gras,gras
vegetation,Bezig met laden...,vegetatie,vegetatie
shrubbery,Bezig met laden...,struikgewas,struikgewas
foliage,Bezig met laden...,gebladerte,gebladerte
leaves,Bezig met laden...,bladeren,bladeren
flowers,Bezig met laden...,bloemen,bloemen
asphalt,Bezig met laden...,asfalt,asfalt
pavement,Bezig met laden...,bestrating,bestrating
shingles,Bezig met laden...,dakbedekking,dakbedekking
carpet,Bezig met laden...,tapijt,tapijt
brick,Bezig met laden...,baksteen,baksteen
tiles,Bezig met laden...,tegels,tegels
concrete,Bezig met laden...,beton,beton
metal,Bezig met laden...,metaal,metaal
paper,Bezig met laden...,papier,papier
wood,Bezig met laden...,hout,hout
vinyl,Bezig met laden...,vinyl,vinyl
plastic,Bezig met laden...,plastic,plastic
cloth,Bezig met laden...,kleding,kleding
sand,Bezig met laden...,zand,zand
rock,Bezig met laden...,steen,steen
dirt,Bezig met laden...,vuil,vuil
marble,Bezig met laden...,marmeren,marmeren
glass,Bezig met laden...,glas,glas
surf,Bezig met laden...,surfen,surfen
ocean,Bezig met laden...,oceaan,oceaan
running water,Bezig met laden...,water,water
still water,Bezig met laden...,water,water
ice,Bezig met laden...,ijs,ijs
snow,Bezig met laden...,sneeuw,sneeuw
clouds,Bezig met laden...,wolken,wolken
smoke,Bezig met laden...,rook,rook
fire,Bezig met laden...,brand,brand
natural light,Bezig met laden...,licht,licht
sunny,Bezig met laden...,zonnig,zonnig
indoor lighting,Bezig met laden...,binnenverlichting,binnenverlichting
aged,Bezig met laden...,oud,oud
glossy,Bezig met laden...,glanzend,glanzend
matte,Bezig met laden...,mat,mat
sterile,Bezig met laden...,steriel,steriel
moist,Bezig met laden...,vochtig,vochtig
dry,Bezig met laden...,droog,droog
dirty,Bezig met laden...,vuil,vuil
rusty,Bezig met laden...,roestig,roestig
warm,Bezig met laden...,warm,warm
cold,Bezig met laden...,koud,koud
natural,Bezig met laden...,natuurlijk,natuurlijk
man-made,Bezig met laden...,handgemaakt,handgemaakt
open area,Bezig met laden...,gebied,gebied
semi-enclosed area,Bezig met laden...,binnen,binnen
enclosed area,Bezig met laden...,binnen,binnen
far-away horizon,Bezig met laden...,horizon,horizon
no horizon,Bezig met laden...,binnen,binnen
rugged scene,Bezig met laden...,ruw,ruw
vertical components,Bezig met laden...,verticaal,verticaal
horizontal components,Bezig met laden...,horizontaal,horizontaal
symmetrical,Bezig met laden...,symmetrisch,symmetrisch
cluttered space,Bezig met laden...,rommelig,rommelig
scary,Bezig met laden...,eng,eng
soothing,Bezig met laden...,verzachtend,verzachtend
stressful,Bezig met laden...,stressvolle,stressvolle
