key	wordnet_id	synonyms
n01440764	eng-30-01440764-n	zeelt
n01443537	eng-30-01443537-n	goudvis
n01484850	eng-30-01484850-n	grote witte haai, antropofaag, kannibaal, menseneter
n01491361	eng-30-01491361-n	tijgerhaai
n01494475	eng-30-01494475-n	hamerhaai
n01496331	eng-30-01496331-n	
n01498041	eng-30-01498041-n	pijlstaartrog
n01514668	eng-30-01514668-n	haan
n01514859	eng-30-01514859-n	wijfje, hen, roddeltante
n01518878	eng-30-01518878-n	struisvogel
n01530575	eng-30-01530575-n	
n01531178	eng-30-01531178-n	
n01532829	eng-30-01532829-n	kneu
n01534433	eng-30-01534433-n	
n01537544	eng-30-01537544-n	
n01558993	eng-30-01558993-n	
n01560419	eng-30-01560419-n	
n01580077	eng-30-01580077-n	Vlaamse gaai, gaai
n01582220	eng-30-01582220-n	ekster
n01592084	eng-30-01592084-n	mees
n01601694	eng-30-01601694-n	waterspreeuw
n01608432	eng-30-01608432-n	
n01614925	eng-30-01614925-n	
n01616318	eng-30-01616318-n	gier
n01622779	eng-30-01622779-n	
n01629819	eng-30-01629819-n	
n01630670	eng-30-01630670-n	
n01631663	eng-30-01631663-n	
n01632458	eng-30-01632458-n	
n01632777	eng-30-01632777-n	axolotl
n01641577	eng-30-01641577-n	brulkikker
n01644373	eng-30-01644373-n	boomkikvors
n01644900	eng-30-01644900-n	
n01664065	eng-30-01664065-n	
n01665541	eng-30-01665541-n	
n01667114	eng-30-01667114-n	
n01667778	eng-30-01667778-n	moerasschildpad
n01669191	eng-30-01669191-n	
n01675722	eng-30-01675722-n	
n01677366	eng-30-01677366-n	leguaan, iguana
n01682714	eng-30-01682714-n	
n01685808	eng-30-01685808-n	
n01687978	eng-30-01687978-n	
n01688243	eng-30-01688243-n	
n01689811	eng-30-01689811-n	
n01692333	eng-30-01692333-n	gilamonster
n01693334	eng-30-01693334-n	
n01694178	eng-30-01694178-n	
n01695060	eng-30-01695060-n	komodovaraan
n01697457	eng-30-01697457-n	
n01698640	eng-30-01698640-n	
n01704323	eng-30-01704323-n	triceratops
n01728572	eng-30-01728572-n	
n01728920	eng-30-01728920-n	
n01729322	eng-30-01729322-n	
n01729977	eng-30-01729977-n	
n01734418	eng-30-01734418-n	
n01735189	eng-30-01735189-n	
n01737021	eng-30-01737021-n	
n01739381	eng-30-01739381-n	
n01740131	eng-30-01740131-n	
n01742172	eng-30-01742172-n	
n01744401	eng-30-01744401-n	
n01748264	eng-30-01748264-n	
n01749939	eng-30-01749939-n	
n01751748	eng-30-01751748-n	
n01753488	eng-30-01753488-n	
n01755581	eng-30-01755581-n	
n01756291	eng-30-01756291-n	
n01768244	eng-30-01768244-n	
n01770081	eng-30-01770081-n	hooiwagen
n01770393	eng-30-01770393-n	schorpioen
n01773157	eng-30-01773157-n	
n01773549	eng-30-01773549-n	
n01773797	eng-30-01773797-n	
n01774384	eng-30-01774384-n	zwarte weduwe
n01774750	eng-30-01774750-n	vogelspin, tarantula
n01775062	eng-30-01775062-n	
n01776313	eng-30-01776313-n	teek
n01784675	eng-30-01784675-n	duizendpoot
n01795545	eng-30-01795545-n	korhoen
n01796340	eng-30-01796340-n	patrijs, sneeuwhoen
n01797886	eng-30-01797886-n	
n01798484	eng-30-01798484-n	
n01806143	eng-30-01806143-n	pauwhaan, pauw
n01806567	eng-30-01806567-n	kwartel
n01807496	eng-30-01807496-n	hoen, hoentje, patrijs
n01817953	eng-30-01817953-n	
n01818515	eng-30-01818515-n	ara
n01819313	eng-30-01819313-n	
n01820546	eng-30-01820546-n	
n01824575	eng-30-01824575-n	
n01828970	eng-30-01828970-n	
n01829413	eng-30-01829413-n	
n01833805	eng-30-01833805-n	kolibrie
n01843065	eng-30-01843065-n	
n01843383	eng-30-01843383-n	toekan
n01847000	eng-30-01847000-n	mannetjeseend, waard, woerd
n01855032	eng-30-01855032-n	
n01855672	eng-30-01855672-n	
n01860187	eng-30-01860187-n	
n01871265	eng-30-01871265-n	olifant met grote slagtanden
n01872401	eng-30-01872401-n	mierenegel
n01873310	eng-30-01873310-n	vogelbekdier
n01877812	eng-30-01877812-n	wallabie, wallaby
n01882714	eng-30-01882714-n	koalabeertje, koalabeer, koala
n01883070	eng-30-01883070-n	wombat
n01910747	eng-30-01910747-n	kwal
n01914609	eng-30-01914609-n	
n01917289	eng-30-01917289-n	
n01924916	eng-30-01924916-n	platwormen, platworm
n01930112	eng-30-01930112-n	nematoda, rondworm, aaltjes
n01943899	eng-30-01943899-n	schelp, hoorn
n01944390	eng-30-01944390-n	huisjesslak, slak
n01945685	eng-30-01945685-n	slak
n01950731	eng-30-01950731-n	
n01955084	eng-30-01955084-n	
n01968897	eng-30-01968897-n	
n01978287	eng-30-01978287-n	
n01978455	eng-30-01978455-n	
n01980166	eng-30-01980166-n	
n01981276	eng-30-01981276-n	
n01983481	eng-30-01983481-n	
n01984695	eng-30-01984695-n	
n01985128	eng-30-01985128-n	rivierkreeft
n01986214	eng-30-01986214-n	heremiet, heremietkreeft
n01990800	eng-30-01990800-n	
n02002556	eng-30-02002556-n	ooievaar
n02002724	eng-30-02002724-n	
n02006656	eng-30-02006656-n	lepelaar
n02007558	eng-30-02007558-n	flamingo
n02009229	eng-30-02009229-n	
n02009912	eng-30-02009912-n	
n02011460	eng-30-02011460-n	roerdomp
n02012849	eng-30-02012849-n	hijskraan, kraanvogel
n02013706	eng-30-02013706-n	
n02017213	eng-30-02017213-n	
n02018207	eng-30-02018207-n	
n02018795	eng-30-02018795-n	trapgans, trap
n02025239	eng-30-02025239-n	
n02027492	eng-30-02027492-n	
n02028035	eng-30-02028035-n	
n02033041	eng-30-02033041-n	
n02037110	eng-30-02037110-n	scholekster
n02051845	eng-30-02051845-n	pelikaan
n02056570	eng-30-02056570-n	koningspinguïn
n02058221	eng-30-02058221-n	albatros
n02066245	eng-30-02066245-n	
n02071294	eng-30-02071294-n	orka
n02074367	eng-30-02074367-n	doejong
n02077923	eng-30-02077923-n	zeeleeuw
n02085620	eng-30-02085620-n	chihuahua
n02085782	eng-30-02085782-n	
n02085936	eng-30-02085936-n	Maltese
n02086079	eng-30-02086079-n	
n02086240	eng-30-02086240-n	
n02086646	eng-30-02086646-n	
n02086910	eng-30-02086910-n	
n02087046	eng-30-02087046-n	
n02087394	eng-30-02087394-n	
n02088094	eng-30-02088094-n	Afghaanse windhond
n02088238	eng-30-02088238-n	brak
n02088364	eng-30-02088364-n	snuffelaar, beagle, brak
n02088466	eng-30-02088466-n	
n02088632	eng-30-02088632-n	
n02089078	eng-30-02089078-n	
n02089867	eng-30-02089867-n	
n02089973	eng-30-02089973-n	
n02090379	eng-30-02090379-n	
n02090622	eng-30-02090622-n	
n02090721	eng-30-02090721-n	trillen op zijn benen
n02091032	eng-30-02091032-n	
n02091134	eng-30-02091134-n	
n02091244	eng-30-02091244-n	
n02091467	eng-30-02091467-n	
n02091635	eng-30-02091635-n	hond voor jacht op otters
n02091831	eng-30-02091831-n	
n02092002	eng-30-02092002-n	
n02092339	eng-30-02092339-n	
n02093256	eng-30-02093256-n	
n02093428	eng-30-02093428-n	pitbullterriër
n02093647	eng-30-02093647-n	
n02093754	eng-30-02093754-n	
n02093859	eng-30-02093859-n	
n02093991	eng-30-02093991-n	
n02094114	eng-30-02094114-n	
n02094258	eng-30-02094258-n	
n02094433	eng-30-02094433-n	
n02095314	eng-30-02095314-n	
n02095570	eng-30-02095570-n	
n02095889	eng-30-02095889-n	
n02096051	eng-30-02096051-n	
n02096177	eng-30-02096177-n	
n02096294	eng-30-02096294-n	
n02096437	eng-30-02096437-n	
n02096585	eng-30-02096585-n	
n02097047	eng-30-02097047-n	
n02097130	eng-30-02097130-n	
n02097209	eng-30-02097209-n	
n02097298	eng-30-02097298-n	Schotse terriër
n02097474	eng-30-02097474-n	
n02097658	eng-30-02097658-n	
n02098105	eng-30-02098105-n	
n02098286	eng-30-02098286-n	
n02098413	eng-30-02098413-n	
n02099267	eng-30-02099267-n	
n02099429	eng-30-02099429-n	
n02099601	eng-30-02099601-n	golden retriever
n02099712	eng-30-02099712-n	
n02099849	eng-30-02099849-n	
n02100236	eng-30-02100236-n	
n02100583	eng-30-02100583-n	
n02100735	eng-30-02100735-n	
n02100877	eng-30-02100877-n	Ierse setter
n02101006	eng-30-02101006-n	
n02101388	eng-30-02101388-n	
n02101556	eng-30-02101556-n	
n02102040	eng-30-02102040-n	
n02102177	eng-30-02102177-n	
n02102318	eng-30-02102318-n	
n02102480	eng-30-02102480-n	
n02102973	eng-30-02102973-n	
n02104029	eng-30-02104029-n	
n02104365	eng-30-02104365-n	schippersklokje, schippertje
n02105056	eng-30-02105056-n	
n02105162	eng-30-02105162-n	
n02105251	eng-30-02105251-n	
n02105412	eng-30-02105412-n	
n02105505	eng-30-02105505-n	komondor
n02105641	eng-30-02105641-n	
n02105855	eng-30-02105855-n	
n02106030	eng-30-02106030-n	
n02106166	eng-30-02106166-n	
n02106382	eng-30-02106382-n	
n02106550	eng-30-02106550-n	
n02106662	eng-30-02106662-n	Duitse herdershond
n02107142	eng-30-02107142-n	
n02107312	eng-30-02107312-n	dwergpinscher
n02107574	eng-30-02107574-n	
n02107683	eng-30-02107683-n	
n02107908	eng-30-02107908-n	
n02108000	eng-30-02108000-n	
n02108089	eng-30-02108089-n	boxer, pugilist, vuistvechter, bokser
n02108422	eng-30-02108422-n	
n02108551	eng-30-02108551-n	Tibetaanse mastiff
n02108915	eng-30-02108915-n	
n02109047	eng-30-02109047-n	
n02109525	eng-30-02109525-n	
n02109961	eng-30-02109961-n	sledehond
n02110063	eng-30-02110063-n	
n02110185	eng-30-02110185-n	Siberische husky
n02110341	eng-30-02110341-n	dalmatiër, Dalmatische
n02110627	eng-30-02110627-n	
n02110806	eng-30-02110806-n	
n02110958	eng-30-02110958-n	mops, mopshond
n02111129	eng-30-02111129-n	
n02111277	eng-30-02111277-n	
n02111500	eng-30-02111500-n	
n02111889	eng-30-02111889-n	Samojeed
n02112018	eng-30-02112018-n	Pommers
n02112137	eng-30-02112137-n	eten
n02112350	eng-30-02112350-n	keeshond
n02112706	eng-30-02112706-n	
n02113023	eng-30-02113023-n	
n02113186	eng-30-02113186-n	
n02113624	eng-30-02113624-n	
n02113712	eng-30-02113712-n	
n02113799	eng-30-02113799-n	
n02113978	eng-30-02113978-n	
n02114367	eng-30-02114367-n	wolf
n02114548	eng-30-02114548-n	witte wolf
n02114712	eng-30-02114712-n	
n02114855	eng-30-02114855-n	coyote, prairiewolf
n02115641	eng-30-02115641-n	dingo
n02115913	eng-30-02115913-n	
n02116738	eng-30-02116738-n	
n02117135	eng-30-02117135-n	hyena
n02119022	eng-30-02119022-n	
n02119789	eng-30-02119789-n	
n02120079	eng-30-02120079-n	
n02120505	eng-30-02120505-n	
n02123045	eng-30-02123045-n	
n02123159	eng-30-02123159-n	
