location_name	translation
indoor	binnen
outdoor, natural	buiten, natuurlijk
outdoor, man-made	buiten, onnatuurlijk
shopping and dining	winkelen en eten
workplace (office building, factory, lab, etc.)	op het werk (kantoor, fabriek, lab, etc.)
home or hotel	thuis of in een hotel
transportation (vehicle interiors, stations, etc.)	transport (binnen een voertuig, station, etc.)
sports and leisure	sport en vrije tijd
cultural (art, education, religion, millitary, law, politics, etc.)	cultuur (kunst, onderwijs, religie, militair, wetgeving, politiek, etc.)
water, ice, snow	water, ijs, sneeuw
mountains, hills, desert, sky	bergen, heuvels, woestijn, lucht
forest, field, jungle	bos, veld, jungle
man-made elements	gemaakt door mensen
transportation (roads, parking, bridges, boats, airports, etc.)	transport (wegen, parkeren, bruggen, boten, vliegvelden, etc.)
cultural or historical building/place (millitary, religious)	cultureel of historisch gebouw (militair, religieus)
sports fields, parks, leisure spaces	sportvelden, parken, vrijetijdsruimtes
industrial and construction	bouw en industrie
houses, cabins, gardens, and farms	huizen, huisjes, tuinen, en boerderijen
commercial buildings, shops, markets, cities, and towns	commerciële gebouwen, winkels, markten, steden, en dorpen
