key	wordnet_id	synonyms	provenance
n01440764	eng-30-01440764-n	zeelt	odwn
n01443537	eng-30-01443537-n	goudvis	odwn
n01484850	eng-30-01484850-n	grote witte haai, antropofaag, kannibaal, menseneter	odwn
n01491361	eng-30-01491361-n	tijgerhaai	odwn
n01494475	eng-30-01494475-n	hamerhaai	odwn
n01496331	eng-30-01496331-n	sidderrog, crampfish, numbfish, torpedo-	google_translate
n01498041	eng-30-01498041-n	pijlstaartrog	odwn
n01514668	eng-30-01514668-n	haan	odwn
n01514859	eng-30-01514859-n	wijfje, hen, roddeltante	odwn
n01518878	eng-30-01518878-n	struisvogel	odwn
n01530575	eng-30-01530575-n	brambling, Fringilla montifringilla	google_translate
n01531178	eng-30-01531178-n	distelvink, Carduelis carduelis	google_translate
n01532829	eng-30-01532829-n	kneu	odwn
n01534433	eng-30-01534433-n	junco, lijster	google_translate
n01537544	eng-30-01537544-n	indigobunting, indigo vink, indigo vogel, Passerina cyanea	google_translate
n01558993	eng-30-01558993-n	roodborstje, Amerikaanse robin, Turdus migratorius	google_translate
n01560419	eng-30-01560419-n	bulbul	google_translate
n01580077	eng-30-01580077-n	Vlaamse gaai, gaai	odwn
n01582220	eng-30-01582220-n	ekster	odwn
n01592084	eng-30-01592084-n	mees	odwn
n01601694	eng-30-01601694-n	waterspreeuw	odwn
n01608432	eng-30-01608432-n	vlieger	google_translate
n01614925	eng-30-01614925-n	bald eagle, Amerikaanse zeearend, Haliaeetus leucocephalus	google_translate
n01616318	eng-30-01616318-n	gier	odwn
n01622779	eng-30-01622779-n	grote grijze uil, grote grijze uil, Strix nebulosa	google_translate
n01629819	eng-30-01629819-n	European fire salamander, salamandra salamandra	google_translate
n01630670	eng-30-01630670-n	gemeenschappelijke newt, Triturus vulgaris	google_translate
n01631663	eng-30-01631663-n	eft	google_translate
n01632458	eng-30-01632458-n	bevlekte salamander, Ambystoma maculatum	google_translate
n01632777	eng-30-01632777-n	axolotl	odwn
n01641577	eng-30-01641577-n	brulkikker	odwn
n01644373	eng-30-01644373-n	boomkikvors	odwn
